audienceId,id,name
536969,383334,AJ General Test
536969,383062,mpazur_audience_extension
536969,382733,FS - Audience - Unsubscribed from FSD Email
536969,382730,FS - Audience - Preference
536969,382729,Transaction Details - Contacts Filled out RB Advertise Page Form
536969,382727,FS - Audience - Marketable Persons
536969,382726,FS - Audience - Email Invalid
536969,382725,FS - Audience - Email Address .
536969,382724,FS - Audience - Primary Business
536969,382723,FS - Audience - Email Address @
536969,382722,FS - Audience Preference- FSD Daily Subscriptions
536969,382721,FS - Audience - Address
536969,382720,FS - Audience - Marketing Suspended
536969,382719,FS - Audience - Block Listed = FALSE
536969,382718,Detailed Email Activity - Clicked Link in RB How are we doing email
536969,382717,FS - Audience - Unsubscribed = FALSE
536969,382714,FS - Audience - Unsubscribed = TRUE
536969,382713,Detailed Email Activity - Opened RB How are we doing email
536969,382711,FS - Audience - City
536969,382707,FS - Audience - RB Responsibility Culinary
536969,382706,FS - Audience - FSD Audience
536969,382705,FS - Audience - Last Name
536969,382704,FS - Audience - Country
536969,382703,FS - Audience - Country
536969,382552,SM Test Seg 3
536969,382451,mpazur_demo
536969,381202,mpazur_tc1
536969,381169,mpazur_test
536969,381168,registration_validation count
536969,380316,Insights_marketable Known audience
536969,380293,Testing
536969,379297,Insights_known audience
536969,379272,TESTING_MarketAudience_BusinessCase19_Activation_TD_20240205 (Copy)
536969,379244,TESTING_MarketAudience_BusinessCase19_Activation_TD_20240205
536969,376924,TESTING_MarketAudience_BusinessCase16_Activation_TD_20240202
536969,376922,SYSTEM_MarketAudience_SNFoodserviceAtRetailOptOut_SegmentLibrary
536969,376920,SYSTEM_MarketAudience_SNFoodserviceAtRetailptin_SegmentLibrary
536969,376839,AUDIENCE_MyfirstRecipe_Activation_SL_20240202
536969,376830,AJ Marketo Test
536969,376798,Transaction
536969,376796,Registration
536969,376207,Training Test
536969,375252,AUDIENCE_MyfirstRecipe_Activation_TD_20240202
536969,375243,FS - Audience
536969,374249,dst test100
536969,373099,SN Business Class Retailers_EB
536969,373022,DST Testing
536969,372672,aud_ext
536969,372671,subs_ext
536969,372670,Subscription
536969,369657,AJ UBER CDO Lead Source Test
536969,369655,AJ NRN CREATE Insider Digital Mag Form Test
536969,369653,AJ NRN Promo NRN Test
536969,369646,AJ Whitepaper Download Check
536969,369637,AJ SN Area of Responsibility
536969,369635,AJ NRN Quick Service Opt-outs
536969,369014,CA Training 4
536969,369013,EB Training 4
536969,369010,System - NRN - Spon Opt Out
536969,369009,SM Test Seg 2
536969,369003,DST Test 2
536969,368987,EB Training 3
536969,368986,CA Training 3
536969,368974,EB Training 2
536969,368973,CA Training 2
536969,368965,Sp-test
536969,368915,SM Test Seg
536969,368895,DST Test 1
536969,368886,EB Training 1
536969,368885,CA Training 1
536969,368623,test
536969,368059,AJ Email Group Testing
536969,368043,AJ Content View
536969,368024,AJ ON24 Test
536969,368005,AJ Avolio Test
536969,367474,transaction_count
536969,367452,Unknown to Known (Topic)
536969,367451,Unknown to Known (Brand)
536969,367140,AJ State test
536969,367139,AJ Menumasters Test
536969,366759,MLW with Jamie
536969,366758,MLW
536969,366756,Erica's test segment 1
536969,366755,Erica Test segment 2
536969,366753,Desiree Validation State
536969,366752,Desiree Validation NRN Website
536969,366751,Desiree Validation NRN AM
536969,366750,Desiree Validation FS Type of Concept
536969,366747,Desiree Validation FS Prim Bus
536969,366746,Desiree Validation FS Area Resp
536969,366745,Desiree Validation Country
536969,366743,Desiree Test Commerical Restaurant
536969,366741,Des Validation Email Group NRNam
536969,366740,Des Validation Email Group NRN_News_NRN Special Report
536969,366739,Des Validation Email Group NRN_News_NRN Quick Service Report
536969,366737,Des Validation - Email Send
536969,366736,Des Validate - Page View Restaurant-Hospitality.com
536969,366734,Des Validate - Page View NRN
536969,366733,Des Validate - Known
536969,366683,999 FUC - Re-engagement (Digital)
536969,366676,999  FUC - Re-engagement (Email)
536969,366368,999 FUC - AbandonedBasket (Website)
536969,366367,999 FUC - AbandonedBasket (Email)
536969,366365,0Engage - Food & Restaurant Base (Don't Touch)
536969,366364,Commercial Operators Des
536969,366363,Commercial Operators
536969,366362,DO NOT USE
536969,366361,SYSTEM_Marketable_DoNotEmail&DoNotMail_SegmentLibrary
536969,366360,00 - Sanctioned Countries
536969,366359,00 - Not Globally Unsubscribed
536969,366358,00 - Internal - Do not email
536969,366357,00 - Hard Bounced
536969,366356,SYSTEM_MarketAudience_1stPartyGlobalUnsub_SegmentLibrary
536969,364483,AJ Advantage Test
536969,362033,Resgistration
517860,394903,Testing
498422,395186,Known Audience Test
498422,387082,ML - Retirement segment - behavioral - no titles
498422,386916,ML - DEI segment - behavioral - no titles
498422,384445,ML - Wealthstack segment - behavioral - no titles
498422,382366,ML - Practice Management segment - behavioral - no titles
498422,380654,ML - RIA segment - behavioral - no titles
498422,380636,Engage WM Apex Fintech_WS_02272024
498422,374256,ML - ETF segment - behavioral - no titles
498422,374255,ML - ETF segment - behavioral
498422,373953,Engage WM Morgan Stanley_WS_02202024
498422,369012,ML Training 4
498422,369011,MLW Training 4
498422,369008,SYSTEM - WM Promo Optout
498422,368996,MLW unknown and email !null
498422,368988,MLW Training 3
498422,368985,ML Training 3
498422,368975,ML Training 2
498422,368972,MLW Training 2
498422,368887,ML Training 1
498422,368879,MLW Training 1
498422,367461,Unknown to Known (Topic)
498422,367460,Unknown to Known (Brand)
498422,332043,Engage WM Base - No Walled Garden
498422,332042,testing - page tags
498422,332041,testing - job title
498422,332036,SP-Test
498422,332029,testing - engagement details
498422,332028,testing - tech subs
498422,332027,testing - salesforce promos
498422,332024,testing - campaigns
498422,332022,Engage WM Activation 2023-12-14
498422,331740,Engage WM Base
498422,331739,00 - Hard Bounced
498422,331738,00 - Globally Unsubscribed
498422,331032,999 FUC - Re-engagement (Email)
498422,331013,Des Validation ME Business Class
498422,331012,Des Validation WM Job Function
498422,331011,999 FUC - Re-engagement (Digital)
498422,328336,Des Validation Email Group: WM Promo (opt down)
498422,328335,Des Validation Email Group: WM News_Daily Memo (opt in)
498422,328334,Des Validation Email Group: WM Spon (opt down)
498422,328333,Des Validation wealthmanagement.com
498422,326654,Des Validation WM Firm Type
498422,326653,Des Validation Known
498422,326652,Des Validation State
498422,326651,Des Validation Country
498422,288243,999 FUC - AbandonedBasket (Website)
498422,288242,999 FUC - AbandonedBasket (Email)
498422,288241,SYSTEM_Marketable_SanctionedCountries_SegmentLibrary
498422,288240,SYSTEM_Marketable_DoNotEmail&DoNotMail_SegmentLibrary
498422,288239,SYSTEM_MarketAudience_1stPartyGlobalUnsub_SegmentLibrary
498422,286248,Anjali Test
478227,395196,Infront Count FEB 24
478227,261112,Known Audience
478227,254838,KM+
478227,254837,Registration - 3 shows +
478227,254038,Engage-GovtPillar-Interest
478227,253900,Known Tracker - Tech
478227,253308,Engage-GovtPillar-WA
478227,252928,Testing
473490,395205,Infront - Retension Test
473490,386010,Streamly (Batch) Warisha
473490,381011,streamly_tracker_test
